27.69,48.09,0
27.65,48.55,0
27.64,48.61,0
27.63,48.71,0
27.63,48.71,0
27.65,48.58,0
27.65,48.38,0
27.65,48.25,0
27.67,48.16,0
27.67,48.12,0
27.67,47.99,0
27.66,48.06,0
27.65,47.93,0
27.65,47.8,0
27.65,47.8,0
27.66,47.7,0
27.65,47.67,0
27.65,47.67,0
27.65,47.64,0
27.64,47.67,0
27.64,47.64,0
27.64,47.67,0
27.64,47.67,0
27.63,47.73,0
27.63,47.77,0
27.63,47.73,0
27.62,47.67,0
27.62,47.7,0
27.59,47.73,0
27.6,47.73,0
27.6,47.67,0
27.59,47.93,0
27.54,48.19,0
27.55,48.19,0
27.55,48.12,0
27.56,48.09,0
27.58,47.86,0
27.58,47.7,0
27.57,47.67,0
27.58,47.64,0
27.58,47.67,0
27.57,47.67,0
27.58,47.67,0
27.57,47.7,0
27.57,47.67,0
27.55,47.83,0
27.53,47.96,0
27.52,47.93,0
27.53,47.8,0
27.51,47.8,0
27.49,47.77,0
27.49,47.73,0
27.5,47.67,0
27.5,47.67,0
27.51,47.6,0
27.49,47.54,0
27.49,47.54,0
27.5,47.57,0
27.48,47.67,0
27.47,47.99,0
27.47,47.93,0
27.47,47.86,0
27.45,47.8,0
27.47,47.7,0
27.46,47.73,0
27.44,47.8,0
27.44,47.8,0
27.44,47.64,0
27.44,47.6,0
27.46,47.6,0
27.45,47.8,0
27.43,47.99,0
27.41,48.25,0
27.43,48.12,0
27.43,47.93,0
27.44,47.83,0
27.43,47.73,0
27.42,47.7,0
27.42,47.7,0
27.4,47.67,0
27.41,47.67,0
27.41,47.67,0
27.4,47.73,0
27.39,47.8,0
27.4,47.77,0
27.39,47.67,0
27.41,47.67,0
27.4,47.64,0
27.4,47.6,0
27.37,47.67,0
27.36,47.86,0
27.36,47.99,0
27.37,47.8,0
27.38,47.7,0
27.38,47.64,0
27.38,47.6,0
27.38,47.67,0
27.39,47.67,0
27.37,47.54,0
27.36,47.51,0
27.37,47.47,0
27.35,47.47,0
27.36,47.44,0
27.36,47.41,0
27.34,47.44,0
27.35,47.44,0
27.35,47.47,0
27.37,47.47,0
27.35,47.51,0
27.35,47.57,0
27.34,47.77,0
27.34,47.99,0
27.35,48.25,0
27.33,48.38,0
27.32,48.51,0
27.34,48.74,0
27.33,49.1,0
27.33,49.19,0
27.33,49.42,0
27.32,49.23,0
27.31,49,0
27.32,48.9,0
27.33,48.84,0
27.32,48.84,0
27.34,48.81,0
27.35,48.81,0
27.36,48.74,0
27.35,48.71,0
27.36,48.64,0
27.37,48.58,0
27.39,48.55,0
27.41,48.51,0
27.4,48.51,0
27.41,48.45,0
27.43,48.45,0
27.44,48.45,0
27.43,48.42,0
27.46,48.42,0
27.46,48.38,0
27.47,48.38,0
27.47,48.35,0
27.5,48.32,0
27.51,48.29,0
27.51,48.29,0
27.52,48.25,0
27.53,48.25,0
27.55,48.25,0
27.55,48.19,0
27.56,48.19,0
27.57,48.12,0
27.58,48.12,0
27.58,48.12,0
27.58,48.12,0
27.6,48.12,0
27.62,48.06,0
27.61,48.06,0
27.62,48.06,0
27.63,48.03,0
27.64,48.03,0
27.64,47.99,0
27.65,48.03,0
27.65,47.99,0
27.67,47.96,0
27.67,47.99,0
27.68,47.99,0
27.68,47.93,0
27.69,47.93,0
27.68,47.93,0
27.7,47.93,0
27.71,47.93,0
27.7,47.93,0
27.7,47.93,0
27.72,47.93,0
27.72,47.93,0
27.73,47.9,0
27.73,47.9,0
